startup_name,final_amount,year,date,city_clean,sector,investors_clean,stage,type,source_file,source_year
Mihup,6700000.0,2016,2016-09-01,Kolkata,Technology,Accel Partners,,Private Equity,Sep_2016.csv,2016
Eshakti,1350000.0,2016,2016-09-06,Chennai,Ecommerce,"Infina Finance Pvt. Ltd, Uday Kotak",,Private Equity,Sep_2016.csv,2016
Cheersoye!,500000.0,2016,2016-09-06,Mumbai,Consumer Internet,Undisclosed Investors,,Seed Funding,Sep_2016.csv,2016
Bigstylist,900000.0,2016,2016-09-06,Mumbai,Consumer Internet,Info Edge (India) Ltd,,Private Equity,Sep_2016.csv,2016
Zilingo,8000000.0,2016,2016-09-07,Bangalore/ Bangkok,Ecommerce,"Venturra Capital, Sequoia India, Susquehanna International Group. Wavemaker Partners, Beenext, Beenos, Digital Garage",,Private Equity,Sep_2016.csv,2016
Alternacare,500000.0,2016,2016-09-07,New Delhi,Consumer Internet,Eros Labs,,Seed Funding,Sep_2016.csv,2016
Simplilearn,6000000.0,2016,2016-09-07,Bangalore,Education,Innoven Capital India,,Private Equity,Sep_2016.csv,2016
Prozo,315000.0,2016,2016-09-07,Gurgaon,Ecommerce,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",,Seed Funding,Sep_2016.csv,2016
Toprankers,670000.0,2016,2016-09-08,Bangalore,Education,"Careernet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",,Seed Funding,Sep_2016.csv,2016
Buildtraders,200000.0,2016,2016-09-08,Bangalore,Ecommerce,Idein Ventures,,Seed Funding,Sep_2016.csv,2016
Byju’S,50000000.0,2016,2016-09-09,Bangalore,Education,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",,Private Equity,Sep_2016.csv,2016
Cureinstant,150000.0,2016,2016-09-10,New Delhi,Consumer Internet,Dr. Rameshwar Kumar,,Seed Funding,Sep_2016.csv,2016
Poshtic,450000.0,2016,2016-09-10,Noida,Consumer Internet,"Havya Sharma, Amit Nagar",,Seed Funding,Sep_2016.csv,2016
Purple Style Labs,448000.0,2016,2016-09-12,Mumbai,Consumer Internet,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",,Seed Funding,Sep_2016.csv,2016
Inuxu,3000000.0,2016,2016-09-12,Pune,Technology,Fork Media,,Private Equity,Sep_2016.csv,2016
Nykaa,12300000.0,2016,2016-09-12,Mumbai,Ecommerce,"Sunil Munjal, Mariwala Family",,Private Equity,Sep_2016.csv,2016
Glam Studios,300000.0,2016,2016-09-12,Noida,Consumer Internet,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",,Seed Funding,Sep_2016.csv,2016
Nearbuy,2500000.0,2016,2016-09-13,Gurgaon,Consumer Internet,Blacksoil Capital Pvt. Ltd.,,Private Equity,Sep_2016.csv,2016
Flocareer,150000.0,2016,2016-09-14,Bangalore,Consumer Internet,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",,Seed Funding,Sep_2016.csv,2016
Infeedo,200000.0,2016,2016-09-15,Gurgaon,Consumer Internet,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah, Vivek Bhargava, Rahul Singh, Ambarish Gupta,",,Seed Funding,Sep_2016.csv,2016
Furlenco,5000000.0,2016,2016-09-15,Bangalore,Ecommerce,Lightbox Ventures And Others,,Private Equity,Sep_2016.csv,2016
Gopigeon,1500000.0,2016,2016-09-15,Bangalore,Consumer Internet,Nexus Venture Partners,,Private Equity,Sep_2016.csv,2016
Newsdistill,100000.0,2016,2016-09-16,Hyderabad,Consumer Internet,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",,Seed Funding,Sep_2016.csv,2016
Doctorinsta,1000000.0,2016,2016-09-16,Gurgaon,Consumer Internet,Roundglass Partners,,Private Equity,Sep_2016.csv,2016
Milofy,750000.0,2016,2016-09-19,Bangalore,Consumer Internet,Accel Partners,,Seed Funding,Sep_2016.csv,2016
Swiggy,15000000.0,2016,2016-09-19,Bangalore,Consumer Internet,Bessemer Venture Partners,,Private Equity,Sep_2016.csv,2016
Justlikenew,500000.0,2016,2016-09-20,Hyderabad,Ecommerce,Letsventure,,Seed Funding,Sep_2016.csv,2016
Co Life,1000000.0,2016,2016-09-21,Bangalore,Consumer Internet,Undisclosed Investors,,Seed Funding,Sep_2016.csv,2016
Pepperfry,31300000.0,2016,2016-09-21,Mumbai,Ecommerce,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",,Private Equity,Sep_2016.csv,2016
Equickies,298000.0,2016,2016-09-21,Ahmedabad,Ecommerce,Lothal Angel Ventures,,Seed Funding,Sep_2016.csv,2016
Khel Now,350000.0,2016,2016-09-21,New Delhi,Consumer Internet,Anglian Omega Network,,Seed Funding,Sep_2016.csv,2016
Gadgetwood,6000000.0,2016,2016-09-22,New Delhi,Consumer Internet,Carpediem Capital,,Private Equity,Sep_2016.csv,2016
Flixy Games,425000.0,2016,2016-09-22,Bangalore,Technology,Rebright Partners,,Seed Funding,Sep_2016.csv,2016
Hashtaag,1000000.0,2016,2016-09-22,Bangalore,Technology,Undisclosed Investors,,Seed Funding,Sep_2016.csv,2016
